screen_name,favorite_count,retweet_count,followers_count
hrbrmstr,1,1,10331
hrbrmstr,25,0,10331
hrbrmstr,34,5,10331
hrbrmstr,13,9,10331
hrbrmstr,1,0,10331
hrbrmstr,3,1,10331
hrbrmstr,5,1,10331
hrbrmstr,30,10,10331
hrbrmstr,4,1,10331
hrbrmstr,5,1,10331
hrbrmstr,20,3,10331
hrbrmstr,11,3,10331
hrbrmstr,9,5,10331
hrbrmstr,10,5,10331
hrbrmstr,61,18,10331
hrbrmstr,17,6,10331
hrbrmstr,6,8,10331
hrbrmstr,12,0,10331
hrbrmstr,15,4,10331
hrbrmstr,11,8,10331
hrbrmstr,2,0,10331
hrbrmstr,18,4,10331
hrbrmstr,0,1,10331
hrbrmstr,17,6,10331
hrbrmstr,7,2,10331
hrbrmstr,6,2,10331
hrbrmstr,26,4,10331
hrbrmstr,47,12,10331
hrbrmstr,21,1,10331
hrbrmstr,2,0,10331
hrbrmstr,20,5,10331
hrbrmstr,16,4,10331
hrbrmstr,9,3,10331
hrbrmstr,7,0,10331
hrbrmstr,3,0,10331
hrbrmstr,33,6,10331
hrbrmstr,13,2,10331
hrbrmstr,1,2,10331
hrbrmstr,165,28,10331
hrbrmstr,6,1,10331
hrbrmstr,0,0,10331
hrbrmstr,0,0,10331
hrbrmstr,97,34,10331
hrbrmstr,23,4,10331
hrbrmstr,16,0,10331
hrbrmstr,41,4,10331
hrbrmstr,9,2,10331
hrbrmstr,0,0,10331
hrbrmstr,10,3,10331
hrbrmstr,4,0,10331
hrbrmstr,12,3,10331
hrbrmstr,3,0,10331
hrbrmstr,2,0,10331
hrbrmstr,2,1,10331
hrbrmstr,2,0,10331
hrbrmstr,34,7,10331
hrbrmstr,8,1,10331
hrbrmstr,4,1,10331
hrbrmstr,29,4,10331
hrbrmstr,6,2,10331
hrbrmstr,6,4,10331
hrbrmstr,0,1,10331
hrbrmstr,1,0,10331
hrbrmstr,31,8,10331
hrbrmstr,16,4,10331
hrbrmstr,2,1,10331
hrbrmstr,1,0,10331
hrbrmstr,119,40,10331
hrbrmstr,15,2,10331
hrbrmstr,3,3,10331
hrbrmstr,10,1,10331
